Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
871.106,3154.141299,5043.433801,3709.152277,3061.386334,3861.751952,3415.359376,2778.283604,6195.656241,4368.26563,3728.37303,4413.27775,5941.634699,3748.066932,3138.042652,3796.729733
875.008,2704.658701,4398.545539,3267.881211,2736.837002,3396.386069,3033.84829,2496.381084,5463.135478,3927.892146,3240.376956,3862.826141,4181.476321,3364.680586,2747.27526,3327.075873
878.909,2544.717402,4192.18481,3182.799631,2555.646382,3212.219734,2899.069409,2187.683883,5234.238859,3744.663816,2981.070608,3660.392256,3919.366158,3166.043213,2547.726583,3153.441966
882.803,2230.917699,3876.85197,2970.157731,2302.744728,2943.653249,2611.022952,2007.482243,4560.836801,3476.020878,2915.674225,3330.00639,3693.914541,2917.235036,2299.866896,2912.948322
886.692,2153.999886,3785.607371,2905.805699,2165.80229,2833.686911,2560.439137,1927.216402,4465.37971,3363.333569,2847.688043,3382.54883,3525.691795,2887.666274,2326.546469,2741.59525
890.58,2174.004252,3675.14136,2875.873723,2163.769318,2839.071015,2681.828178,1919.506597,4465.017993,3363.102121,2777.002296,3338.999865,3616.648243,2874.087143,2295.465568,2779.673053
894.465,2523.561088,4213.19428,3241.341988,2353.826058,3203.065853,2907.260289,2192.213063,4964.782049,3818.346764,3239.197213,3704.969776,4178.254204,3145.297857,2601.734461,3097.972033
898.342,3005.36068,5057.056473,3784.960673,2823.252753,3909.601715,3342.815678,2626.046033,6280.542274,4566.547722,3688.023022,4372.328843,4756.969995,3651.718626,2939.393409,3698.70249
902.217,4214.963312,6697.428273,4866.599957,3701.469647,5263.908887,4209.454552,3380.245736,8745.599059,6129.425217,4786.229948,5852.287342,6389.475925,4810.619658,3906.332674,4821.724719
906.086,5450.719266,8210.020013,6148.530013,4753.716978,6607.21765,5136.197115,4373.762402,11138.72279,7668.559467,5923.85821,7316.705544,7790.292302,5832.351156,4837.112514,6143.789013
909.952,6044.178819,9183.272015,6656.191012,5346.344982,7283.778282,5809.253565,4875.196255,12343.04383,8504.400683,6545.078026,8018.843715,8635.479426,6560.99332,5476.853182,6907.995658
913.815,5610.302243,8728.624597,6265.543116,5010.61389,6887.621053,5499.654096,4611.077515,11600.96257,8064.279068,6125.259605,7651.772113,8174.167589,6197.716342,5196.914927,6652.054937
917.673,4707.809803,7162.208064,5321.296481,4251.803926,5760.266225,4694.708897,3905.196398,9556.479333,6746.864818,5275.48315,6518.570989,7017.697074,5305.930409,4322.457994,5421.307124
921.529,3800.551758,6018.252715,4578.581257,3575.995312,4651.104055,4003.16815,3225.503114,7513.884478,5591.248119,4503.598859,5468.060584,5884.428158,4424.005702,3781.012619,4564.952486
925.378,2915.558366,4937.608841,3761.42759,2901.128263,3770.554793,3399.942033,2616.62787,5837.948329,4474.57915,3763.626923,4396.301135,4725.431109,3809.592396,3021.969037,3606.811285
929.226,2372.739876,4182.946726,3143.04562,2498.212991,3140.728685,2915.08072,2300.120871,4512.731212,3710.338088,3248.75753,3729.212872,4063.116189,3282.06066,2728.327479,3013.39378
933.066,1819.226538,3389.376651,2643.635482,1964.149708,2571.195973,2435.204382,1749.592316,3709.793443,3078.535102,2703.280864,3093.326022,3285.853656,2701.700663,2031.918171,2413.460224
936.903,1584.178597,3047.438891,2200.387311,1700.928618,2273.956894,2064.533186,1597.952405,3232.225337,2720.770357,2300.987105,2702.130807,2949.143764,2312.402568,1804.731338,2078.090868
940.736,1566.536299,2999.163718,2167.561237,1678.409929,2194.401687,1987.007297,1494.371334,3245.807201,2646.684019,2151.396431,2575.707447,2834.246764,2284.216535,1717.167203,2024.715962
944.568,1601.539885,3074.511403,2217.597388,1770.153843,2165.870583,1983.726879,1522.3493,3451.269343,2673.186246,2236.829018,2706.936158,2928.732904,2281.002724,1775.035986,2054.175752
948.394,1718.289598,3042.472211,2265.10589,1682.420562,2221.623816,2095.782092,1575.786496,3653.002065,2771.067197,2206.495038,2626.977154,2883.122427,2225.34129,1743.257905,2147.560482
952.216,1776.725676,3121.006405,2300.126869,1795.960285,2352.841615,2078.373096,1454.113114,3685.705666,2857.157028,2338.474663,2669.470647,3004.335577,2224.432387,1779.263179,2263.160395
956.031,1804.338359,3074.294246,2208.680445,1766.503212,2376.044206,1922.380047,1490.039345,3921.740444,2806.96589,2195.318062,2563.146845,3008.782591,2214.366167,1753.352022,2198.615731
959.847,1851.337881,3494.725991,2362.056738,1956.869539,2500.291816,2003.303102,1634.235378,4188.496689,3015.533933,2296.645401,2862.395955,3145.083706,2323.36278,1882.544648,2376.556729
963.655,2084.014477,3669.301894,2491.325865,2018.779461,2729.224666,2119.682412,1689.381402,4563.53469,3229.171304,2393.776845,2951.19818,3320.199155,2498.412373,1965.591268,2439.673624
967.459,2424.10838,4157.012205,2796.847942,2280.07317,3086.662976,2347.398129,1939.967603,5292.11473,3651.208147,2677.642555,3351.81372,3762.339167,2761.405091,2177.982094,2887.71665
971.262,2988.439819,4888.667171,3356.873081,2671.420857,3704.456965,2882.100401,2417.234165,6602.337091,4347.754603,3223.612691,4047.672774,4424.813969,3247.851076,2589.397333,3447.586038
975.059,3352.179024,5529.417035,3801.661391,3161.952711,4169.216846,3227.129376,2854.53127,7820.482045,5007.300808,3621.90741,4645.265535,5038.313784,3707.530469,3117.67719,4007.962016
978.85,3783.656219,6144.172034,4126.162979,3544.888918,4688.05283,3563.185198,3108.639099,8638.03986,5592.446894,3998.836867,5015.662195,5561.62883,4158.513405,3336.921869,4448.424809
982.64,3835.091626,6108.112401,4132.537947,3604.209659,4721.505122,3553.038005,3070.24783,8700.270796,5700.57299,3975.93121,5088.372938,5440.829321,4072.670018,3433.271571,4533.074638
986.425,3418.495462,5558.288363,3760.106394,3253.445116,4338.193926,3276.287936,2861.947636,7887.055104,5152.179218,3619.740587,4771.807945,5014.225463,3824.640436,3131.836491,4087.841719
990.206,2901.047941,4873.110138,3287.928413,2810.725462,3662.009438,2895.535124,2498.248688,6869.073026,4479.975693,3148.935139,3975.327393,4366.557459,3267.934784,2684.636823,3582.676264
993.982,2485.909275,3977.997942,2696.794096,2412.96087,3063.89185,2415.119698,2145.431156,5557.434798,3718.722527,2641.555004,3367.581451,3713.345507,2728.893182,2284.822758,2964.51848
